name,tapebert_mlp_pred_result_1,tapebert_mlp_pred_result_2,tapebert_mlp_pred_result_3,tapebert_mlp_pred_result_4,tapebert_mlp_pred_result_5,tapebert_mlp_pred_result_vote,tapebert_svm_pred_result_1,tapebert_svm_pred_result_2,tapebert_svm_pred_result_3,tapebert_svm_pred_result_4,tapebert_svm_pred_result_5,tapebert_svm_pred_result_vote,pssm_cnn_pred_result_1,pssm_cnn_pred_result_2,pssm_cnn_pred_result_3,pssm_cnn_pred_result_4,pssm_cnn_pred_result_5,pssm_cnn_pred_result_vote,hybrid_bilstm_pred_result_1,hybrid_bilstm_pred_result_2,hybrid_bilstm_pred_result_3,hybrid_bilstm_pred_result_4,hybrid_bilstm_pred_result_5,hybrid_bilstm_pred_result_vote
lcl|NC_012442.1_prot_WP_004686183.1_115,0.244,0.221,0.144,0.065,0.087,0.0,0.099,0.121,0.12,0.167,0.103,0.0,0.046,0.01,0.013,0.006,0.013,0.0,0.039,0.005,0.001,0.02,0.002,0.0
lcl|NC_012442.1_prot_WP_002966453.1_116,0.214,0.073,0.201,0.066,0.143,0.0,0.083,0.158,0.068,0.115,0.09,0.0,0.027,0.013,0.014,0.014,0.015,0.0,0.282,0.032,0.026,0.026,0.017,0.0
lcl|NC_012442.1_prot_WP_004681334.1_117,0.611,0.744,0.421,0.675,0.784,0.8,0.383,0.448,0.462,0.299,0.331,0.0,0.706,0.815,0.42,0.568,0.548,0.8,0.925,0.855,0.526,0.757,0.593,1.0
lcl|NC_012442.1_prot_WP_002966451.1_118,0.206,0.183,0.154,0.092,0.057,0.0,0.091,0.09,0.14,0.06,0.07,0.0,0.112,0.047,0.015,0.03,0.033,0.0,0.199,0.001,0.043,0.134,0.028,0.0
lcl|NC_012442.1_prot_WP_004686182.1_119,0.001,0.0,0.005,0.0,0.0,0.0,0.005,0.007,0.01,0.011,0.013,0.0,0.02,0.002,0.005,0.006,0.002,0.0,0.012,0.0,0.001,0.006,0.0,0.0
lcl|NC_012442.1_prot_WP_004681340.1_120,0.011,0.162,0.088,0.037,0.018,0.0,0.028,0.124,0.067,0.056,0.077,0.0,0.277,0.27,0.176,0.071,0.062,0.0,0.141,0.442,0.029,0.112,0.254,0.0
lcl|NC_012442.1_prot_WP_002966447.1_121,0.073,0.076,0.088,0.133,0.406,0.0,0.156,0.155,0.145,0.083,0.148,0.0,0.068,0.057,0.05,0.098,0.058,0.0,0.111,0.165,0.026,0.083,0.045,0.0
lcl|NC_012442.1_prot_WP_004685114.1_122,0.091,0.022,0.044,0.084,0.052,0.0,0.029,0.03,0.032,0.019,0.01,0.0,0.103,0.035,0.121,0.032,0.221,0.0,0.031,0.0,0.006,0.011,0.003,0.0
lcl|NC_012442.1_prot_WP_002966444.1_123,0.043,0.023,0.032,0.073,0.011,0.0,0.025,0.039,0.076,0.044,0.036,0.0,0.01,0.014,0.015,0.006,0.005,0.0,0.005,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_006147204.1_124,0.0,0.001,0.003,0.0,0.002,0.0,0.003,0.003,0.005,0.005,0.003,0.0,0.041,0.075,0.019,0.041,0.028,0.0,0.002,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_005971964.1_125,0.001,0.003,0.004,0.006,0.01,0.0,0.023,0.017,0.011,0.024,0.007,0.0,0.022,0.011,0.008,0.014,0.034,0.0,0.0,0.002,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004686180.1_126,0.041,0.042,0.088,0.117,0.052,0.0,0.069,0.048,0.084,0.082,0.079,0.0,0.199,0.114,0.115,0.199,0.203,0.0,0.345,0.013,0.061,0.077,0.059,0.0
lcl|NC_012442.1_prot_WP_002966440.1_127,0.831,0.859,0.621,0.636,0.76,1.0,0.731,0.646,0.561,0.712,0.574,1.0,0.737,0.886,0.735,0.785,0.81,1.0,0.714,0.861,0.57,0.771,0.78,1.0
lcl|NC_012442.1_prot_WP_006135531.1_128,0.0,0.002,0.012,0.0,0.001,0.0,0.017,0.026,0.024,0.017,0.017,0.0,0.02,0.007,0.007,0.009,0.029,0.0,0.084,0.0,0.544,0.048,0.041,0.2
lcl|NC_012442.1_prot_WP_002966437.1_129,0.006,0.012,0.037,0.004,0.008,0.0,0.016,0.013,0.014,0.019,0.014,0.0,0.026,0.02,0.022,0.005,0.006,0.0,0.061,0.002,0.001,0.018,0.005,0.0
lcl|NC_012442.1_prot_WP_002966436.1_130,0.0,0.002,0.009,0.0,0.0,0.0,0.018,0.01,0.01,0.019,0.019,0.0,0.024,0.008,0.04,0.021,0.019,0.0,0.001,0.001,0.023,0.052,0.002,0.0
lcl|NC_012442.1_prot_WP_002968266.1_131,0.0,0.001,0.005,0.0,0.001,0.0,0.02,0.021,0.019,0.035,0.01,0.0,0.149,0.059,0.077,0.051,0.038,0.0,0.006,0.0,0.0,0.008,0.0,0.0
lcl|NC_012442.1_prot_WP_002966434.1_132,0.0,0.003,0.025,0.004,0.006,0.0,0.043,0.021,0.035,0.036,0.027,0.0,0.16,0.09,0.065,0.065,0.078,0.0,0.004,0.001,0.0,0.005,0.0,0.0
lcl|NC_012442.1_prot_WP_004681364.1_133,0.007,0.001,0.012,0.002,0.004,0.0,0.009,0.005,0.006,0.008,0.007,0.0,0.017,0.015,0.015,0.009,0.005,0.0,0.001,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_005971952.1_134,0.0,0.001,0.001,0.0,0.0,0.0,0.006,0.002,0.003,0.006,0.003,0.0,0.015,0.008,0.007,0.004,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lcl|NC_012442.1_prot_WP_004681368.1_135,0.041,0.022,0.01,0.034,0.01,0.0,0.008,0.009,0.007,0.007,0.004,0.0,0.044,0.134,0.041,0.115,0.055,0.0,0.002,0.0,0.0,0.005,0.002,0.0
lcl|NC_012442.1_prot_WP_002966430.1_136,0.013,0.004,0.006,0.017,0.01,0.0,0.005,0.006,0.003,0.005,0.003,0.0,0.175,0.143,0.091,0.202,0.1,0.0,0.001,0.0,0.0,0.007,0.0,0.0
lcl|NC_012442.1_prot_WP_002966429.1_137,0.0,0.0,0.002,0.001,0.0,0.0,0.003,0.011,0.002,0.005,0.002,0.0,0.102,0.028,0.027,0.045,0.128,0.0,0.002,0.0,0.0,0.006,0.0,0.0
lcl|NC_012442.1_prot_WP_004686178.1_138,0.074,0.102,0.068,0.039,0.023,0.0,0.028,0.028,0.047,0.022,0.029,0.0,0.076,0.044,0.034,0.026,0.009,0.0,0.012,0.0,0.001,0.006,0.001,0.0
lcl|NC_012442.1_prot_WP_002966427.1_139,0.003,0.004,0.002,0.002,0.001,0.0,0.002,0.003,0.003,0.002,0.001,0.0,0.049,0.011,0.013,0.004,0.005,0.0,0.001,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004685110.1_140,0.076,0.027,0.081,0.009,0.004,0.0,0.025,0.027,0.036,0.03,0.021,0.0,0.021,0.007,0.005,0.003,0.002,0.0,0.005,0.0,0.004,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_004681380.1_141,0.022,0.062,0.031,0.008,0.022,0.0,0.016,0.04,0.022,0.02,0.014,0.0,0.689,0.546,0.258,0.37,0.341,0.4,0.016,0.007,0.019,0.041,0.015,0.0
lcl|NC_012442.1_prot_WP_004681382.1_142,0.065,0.059,0.09,0.016,0.003,0.0,0.026,0.052,0.04,0.024,0.029,0.0,0.034,0.01,0.023,0.046,0.008,0.0,0.006,0.0,0.0,0.01,0.002,0.0
lcl|NC_012442.1_prot_WP_002966423.1_143,0.002,0.006,0.004,0.001,0.001,0.0,0.003,0.009,0.004,0.004,0.006,0.0,0.224,0.142,0.163,0.092,0.05,0.0,0.003,0.001,0.001,0.01,0.004,0.0
lcl|NC_012442.1_prot_WP_002968269.1_144,0.02,0.001,0.007,0.006,0.003,0.0,0.01,0.022,0.01,0.014,0.006,0.0,0.051,0.013,0.005,0.003,0.022,0.0,0.008,0.0,0.0,0.001,0.001,0.0
lcl|NC_012442.1_prot_WP_006254458.1_145,0.035,0.029,0.032,0.045,0.06,0.0,0.007,0.014,0.011,0.013,0.01,0.0,0.485,0.246,0.145,0.12,0.292,0.0,0.104,0.066,0.045,0.064,0.193,0.0
lcl|NC_012442.1_prot_WP_004681387.1_146,0.051,0.182,0.134,0.16,0.18,0.0,0.116,0.102,0.102,0.134,0.075,0.0,0.332,0.37,0.273,0.344,0.48,0.0,0.584,0.486,0.167,0.435,0.317,0.2
lcl|NC_012442.1_prot_WP_002966419.1_147,0.006,0.007,0.003,0.001,0.003,0.0,0.002,0.002,0.003,0.003,0.002,0.0,0.053,0.015,0.035,0.003,0.023,0.0,0.014,0.0,0.0,0.014,0.0,0.0
lcl|NC_012442.1_prot_WP_002966418.1_148,0.0,0.0,0.008,0.001,0.0,0.0,0.004,0.003,0.004,0.005,0.004,0.0,0.018,0.009,0.008,0.014,0.001,0.0,0.035,0.0,0.0,0.005,0.0,0.0
lcl|NC_012442.1_prot_WP_002966417.1_149,0.013,0.155,0.125,0.085,0.047,0.0,0.032,0.033,0.062,0.04,0.043,0.0,0.293,0.323,0.101,0.119,0.098,0.0,0.064,0.067,0.046,0.048,0.033,0.0
lcl|NC_012442.1_prot_WP_002966416.1_150,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.007,0.005,0.007,0.006,0.0,0.016,0.004,0.006,0.008,0.002,0.0,0.036,0.001,0.0,0.015,0.0,0.0
lcl|NC_012442.1_prot_WP_002966415.1_151,0.648,0.722,0.363,0.314,0.818,0.6,0.353,0.298,0.233,0.457,0.303,0.0,0.762,0.378,0.243,0.385,0.52,0.4,0.724,0.825,0.386,0.209,0.564,0.6
lcl|NC_012442.1_prot_WP_004681394.1_152,0.248,0.392,0.247,0.382,0.367,0.0,0.453,0.357,0.24,0.533,0.297,0.2,0.828,0.678,0.45,0.243,0.645,0.6,0.402,0.164,0.071,0.177,0.229,0.0
lcl|NC_012442.1_prot_WP_004685108.1_153,0.037,0.006,0.014,0.032,0.048,0.0,0.024,0.023,0.02,0.013,0.032,0.0,0.059,0.108,0.033,0.042,0.039,0.0,0.022,0.005,0.001,0.015,0.001,0.0
lcl|NC_012442.1_prot_WP_002966407.1_155,0.003,0.027,0.014,0.01,0.004,0.0,0.015,0.031,0.012,0.005,0.015,0.0,0.103,0.057,0.02,0.015,0.038,0.0,0.0,0.002,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966406.1_156,0.793,0.841,0.543,0.827,0.664,1.0,0.599,0.658,0.431,0.677,0.462,0.6,0.987,0.972,0.936,0.974,0.981,1.0,0.913,0.923,0.649,0.846,0.979,1.0
lcl|NC_012442.1_prot_WP_124737068.1_157,0.06,0.295,0.295,0.168,0.181,0.0,0.575,0.383,0.348,0.223,0.448,0.2,0.343,0.56,0.259,0.116,0.455,0.2,0.472,0.066,0.163,0.485,0.369,0.0
lcl|NC_012442.1_prot_WP_004681412.1_159,0.001,0.006,0.055,0.001,0.006,0.0,0.034,0.032,0.046,0.054,0.039,0.0,0.223,0.045,0.225,0.077,0.075,0.0,0.043,0.007,0.0,0.017,0.001,0.0
lcl|NC_012442.1_prot_WP_006135509.1_160,0.001,0.003,0.006,0.001,0.0,0.0,0.008,0.005,0.005,0.014,0.006,0.0,0.022,0.031,0.021,0.011,0.035,0.0,0.002,0.001,0.0,0.005,0.0,0.0
lcl|NC_012442.1_prot_WP_002966402.1_161,0.0,0.0,0.01,0.0,0.0,0.0,0.009,0.011,0.011,0.012,0.01,0.0,0.063,0.016,0.021,0.018,0.012,0.0,0.056,0.005,0.011,0.024,0.004,0.0
lcl|NC_012442.1_prot_WP_004685103.1_162,0.003,0.001,0.011,0.001,0.0,0.0,0.003,0.004,0.005,0.005,0.006,0.0,0.069,0.013,0.023,0.014,0.017,0.0,0.076,0.006,0.013,0.006,0.006,0.0
lcl|NC_012442.1_prot_WP_004686840.1_163,0.0,0.0,0.006,0.0,0.0,0.0,0.005,0.004,0.002,0.005,0.003,0.0,0.017,0.014,0.015,0.01,0.003,0.0,0.004,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002968994.1_164,0.0,0.002,0.1,0.003,0.001,0.0,0.047,0.063,0.032,0.027,0.083,0.0,0.049,0.073,0.032,0.048,0.031,0.0,0.02,0.004,0.072,0.071,0.017,0.0
lcl|NC_012442.1_prot_WP_006254455.1_165,0.079,0.094,0.051,0.04,0.016,0.0,0.025,0.04,0.025,0.008,0.017,0.0,0.093,0.118,0.05,0.062,0.014,0.0,0.012,0.016,0.001,0.021,0.002,0.0
lcl|NC_012442.1_prot_WP_004685100.1_166,0.003,0.022,0.035,0.036,0.017,0.0,0.041,0.027,0.026,0.046,0.018,0.0,0.077,0.07,0.068,0.063,0.086,0.0,0.135,0.221,0.149,0.411,0.201,0.0
lcl|NC_012442.1_prot_WP_004686171.1_167,0.0,0.001,0.002,0.001,0.001,0.0,0.008,0.011,0.009,0.009,0.01,0.0,0.013,0.009,0.006,0.003,0.018,0.0,0.001,0.0,0.0,0.0,0.003,0.0
lcl|NC_012442.1_prot_WP_004681426.1_168,0.02,0.014,0.077,0.006,0.004,0.0,0.018,0.017,0.022,0.019,0.025,0.0,0.027,0.03,0.026,0.008,0.004,0.0,0.004,0.002,0.001,0.009,0.0,0.0
lcl|NC_012442.1_prot_WP_005971898.1_169,0.0,0.002,0.012,0.001,0.0,0.0,0.002,0.004,0.005,0.005,0.004,0.0,0.059,0.047,0.046,0.064,0.021,0.0,0.003,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_004681430.1_170,0.001,0.002,0.007,0.003,0.0,0.0,0.005,0.003,0.005,0.006,0.004,0.0,0.024,0.012,0.021,0.003,0.026,0.0,0.001,0.0,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_004686170.1_171,0.0,0.006,0.015,0.001,0.0,0.0,0.018,0.028,0.036,0.023,0.016,0.0,0.056,0.072,0.022,0.07,0.091,0.0,0.001,0.0,0.001,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_002966391.1_172,0.013,0.028,0.005,0.019,0.01,0.0,0.021,0.021,0.029,0.014,0.01,0.0,0.035,0.066,0.114,0.106,0.019,0.0,0.031,0.054,0.001,0.013,0.009,0.0
lcl|NC_012442.1_prot_WP_002966390.1_173,0.01,0.012,0.12,0.008,0.003,0.0,0.052,0.031,0.055,0.043,0.052,0.0,0.036,0.042,0.025,0.022,0.009,0.0,0.194,0.107,0.121,0.136,0.192,0.0
lcl|NC_012442.1_prot_WP_002972151.1_174,0.555,0.524,0.371,0.729,0.8,0.8,0.099,0.138,0.203,0.199,0.261,0.0,0.544,0.669,0.311,0.594,0.669,0.8,0.217,0.256,0.04,0.811,0.291,0.2
lcl|NC_012442.1_prot_WP_002966387.1_175,0.0,0.0,0.005,0.0,0.0,0.0,0.008,0.013,0.012,0.008,0.007,0.0,0.075,0.033,0.017,0.004,0.008,0.0,0.002,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_002966386.1_176,0.0,0.001,0.005,0.0,0.0,0.0,0.014,0.025,0.008,0.013,0.01,0.0,0.013,0.003,0.011,0.002,0.005,0.0,0.007,0.006,0.003,0.021,0.001,0.0
lcl|NC_012442.1_prot_WP_004681440.1_177,0.003,0.031,0.037,0.004,0.011,0.0,0.018,0.01,0.008,0.009,0.018,0.0,0.07,0.071,0.014,0.021,0.044,0.0,0.066,0.056,0.008,0.018,0.001,0.0
lcl|NC_012442.1_prot_WP_005974657.1_178,0.004,0.004,0.009,0.006,0.004,0.0,0.003,0.005,0.006,0.006,0.005,0.0,0.023,0.012,0.01,0.015,0.015,0.0,0.018,0.005,0.019,0.033,0.013,0.0
lcl|NC_012442.1_prot_WP_004686168.1_179,0.008,0.002,0.002,0.0,0.007,0.0,0.005,0.009,0.008,0.01,0.005,0.0,0.115,0.085,0.089,0.06,0.063,0.0,0.025,0.0,0.005,0.021,0.011,0.0
lcl|NC_012442.1_prot_WP_004686167.1_180,0.0,0.0,0.009,0.0,0.0,0.0,0.01,0.016,0.025,0.012,0.009,0.0,0.017,0.002,0.01,0.008,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0
lcl|NC_012442.1_prot_WP_002971287.1_181,0.126,0.426,0.273,0.09,0.087,0.0,0.241,0.306,0.185,0.138,0.226,0.0,0.58,0.764,0.422,0.588,0.269,0.6,0.118,0.106,0.036,0.404,0.053,0.0
lcl|NC_012442.1_prot_WP_004681448.1_182,0.038,0.004,0.012,0.02,0.037,0.0,0.025,0.026,0.02,0.015,0.024,0.0,0.031,0.044,0.02,0.021,0.04,0.0,0.008,0.003,0.001,0.005,0.0,0.0
lcl|NC_012442.1_prot_WP_004686166.1_183,0.0,0.0,0.034,0.0,0.0,0.0,0.024,0.039,0.034,0.032,0.029,0.0,0.097,0.148,0.327,0.308,0.326,0.0,0.074,0.006,0.0,0.01,0.002,0.0
lcl|NC_012442.1_prot_WP_004686165.1_184,0.847,0.673,0.58,0.485,0.847,0.8,0.288,0.44,0.541,0.428,0.757,0.4,0.126,0.225,0.042,0.016,0.011,0.0,0.006,0.045,0.013,0.04,0.008,0.0
lcl|NC_012442.1_prot_WP_004681454.1_185,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.005,0.006,0.004,0.004,0.0,0.231,0.273,0.111,0.352,0.315,0.0,0.008,0.001,0.004,0.008,0.0,0.0
lcl|NC_012442.1_prot_WP_014489561.1_186,0.076,0.102,0.118,0.026,0.025,0.0,0.065,0.054,0.069,0.037,0.082,0.0,0.134,0.026,0.05,0.052,0.026,0.0,0.005,0.013,0.016,0.028,0.0,0.0
lcl|NC_012442.1_prot_WP_004686843.1_187,0.082,0.13,0.164,0.031,0.047,0.0,0.032,0.046,0.08,0.025,0.078,0.0,0.036,0.021,0.02,0.005,0.012,0.0,0.007,0.0,0.008,0.01,0.003,0.0
lcl|NC_012442.1_prot_WP_004681460.1_188,0.052,0.062,0.052,0.067,0.057,0.0,0.074,0.073,0.135,0.129,0.078,0.0,0.079,0.048,0.045,0.04,0.082,0.0,0.069,0.004,0.004,0.013,0.0,0.0
lcl|NC_012442.1_prot_WP_004681462.1_189,0.001,0.003,0.011,0.001,0.001,0.0,0.024,0.016,0.011,0.032,0.02,0.0,0.014,0.023,0.018,0.015,0.014,0.0,0.003,0.001,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_006135500.1_190,0.083,0.107,0.09,0.02,0.011,0.0,0.014,0.017,0.034,0.019,0.021,0.0,0.105,0.06,0.084,0.099,0.092,0.0,0.762,0.075,0.511,0.317,0.129,0.4
lcl|NC_012442.1_prot_WP_004685090.1_191,0.0,0.0,0.02,0.0,0.0,0.0,0.011,0.049,0.027,0.04,0.019,0.0,0.045,0.01,0.012,0.014,0.006,0.0,0.004,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966369.1_192,0.017,0.093,0.101,0.116,0.018,0.0,0.102,0.074,0.074,0.104,0.036,0.0,0.325,0.587,0.303,0.322,0.329,0.2,0.034,0.072,0.008,0.052,0.001,0.0
lcl|NC_012442.1_prot_WP_002966368.1_193,0.498,0.36,0.171,0.194,0.282,0.0,0.139,0.2,0.181,0.217,0.151,0.0,0.146,0.217,0.114,0.072,0.2,0.0,0.55,0.364,0.168,0.22,0.527,0.4
lcl|NC_012442.1_prot_WP_004685087.1_194,0.0,0.0,0.002,0.0,0.0,0.0,0.008,0.004,0.006,0.008,0.005,0.0,0.079,0.066,0.054,0.054,0.016,0.0,0.007,0.001,0.001,0.008,0.003,0.0
lcl|NC_012442.1_prot_WP_004686162.1_195,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.001,0.0,0.006,0.004,0.008,0.003,0.003,0.0,0.0,0.0,0.0,0.007,0.0,0.0
lcl|NC_012442.1_prot_WP_002966365.1_196,0.107,0.561,0.223,0.3,0.405,0.2,0.087,0.079,0.081,0.127,0.035,0.0,0.922,0.775,0.828,0.781,0.946,1.0,0.394,0.75,0.059,0.437,0.42,0.2
lcl|NC_012442.1_prot_WP_004686161.1_197,0.003,0.008,0.027,0.002,0.001,0.0,0.009,0.009,0.015,0.01,0.016,0.0,0.03,0.007,0.013,0.011,0.009,0.0,0.093,0.004,0.004,0.047,0.002,0.0
lcl|NC_012442.1_prot_WP_004686160.1_199,0.018,0.02,0.067,0.011,0.005,0.0,0.018,0.016,0.019,0.022,0.02,0.0,0.068,0.063,0.05,0.011,0.017,0.0,0.029,0.001,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_002966361.1_200,0.259,0.276,0.17,0.169,0.132,0.0,0.131,0.137,0.078,0.163,0.104,0.0,0.1,0.053,0.028,0.022,0.037,0.0,0.193,0.016,0.003,0.075,0.011,0.0
lcl|NC_012442.1_prot_WP_004681480.1_201,0.0,0.003,0.02,0.0,0.0,0.0,0.028,0.037,0.074,0.048,0.038,0.0,0.026,0.017,0.024,0.004,0.006,0.0,0.035,0.005,0.022,0.039,0.001,0.0
lcl|NC_012442.1_prot_WP_004685083.1_203,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.002,0.002,0.002,0.004,0.0,0.023,0.015,0.006,0.006,0.001,0.0,0.003,0.0,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_004686157.1_204,0.0,0.0,0.004,0.0,0.0,0.0,0.031,0.011,0.009,0.019,0.011,0.0,0.063,0.024,0.044,0.029,0.016,0.0,0.005,0.003,0.0,0.005,0.001,0.0
lcl|NC_012442.1_prot_WP_002966356.1_205,0.004,0.022,0.074,0.005,0.009,0.0,0.018,0.039,0.022,0.051,0.033,0.0,0.16,0.256,0.095,0.055,0.143,0.0,0.123,0.049,0.022,0.028,0.022,0.0
lcl|NC_012442.1_prot_WP_006140061.1_206,0.0,0.0,0.005,0.0,0.0,0.0,0.024,0.014,0.034,0.025,0.009,0.0,0.055,0.041,0.037,0.029,0.029,0.0,0.013,0.004,0.001,0.016,0.369,0.0
lcl|NC_012442.1_prot_WP_004686155.1_207,0.023,0.004,0.024,0.006,0.003,0.0,0.005,0.008,0.008,0.01,0.01,0.0,0.043,0.021,0.017,0.016,0.025,0.0,0.036,0.0,0.003,0.024,0.007,0.0
lcl|NC_012442.1_prot_WP_002966354.1_208,0.002,0.003,0.015,0.01,0.001,0.0,0.015,0.016,0.019,0.02,0.021,0.0,0.079,0.135,0.096,0.021,0.162,0.0,0.002,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_002966353.1_209,0.023,0.121,0.055,0.067,0.144,0.0,0.013,0.02,0.013,0.006,0.035,0.0,0.086,0.091,0.026,0.032,0.076,0.0,0.01,0.15,0.016,0.081,0.056,0.0
lcl|NC_012442.1_prot_WP_002966352.1_210,0.034,0.07,0.028,0.063,0.014,0.0,0.01,0.007,0.013,0.003,0.015,0.0,0.311,0.269,0.067,0.183,0.043,0.0,0.031,0.145,0.022,0.079,0.027,0.0
lcl|NC_012442.1_prot_WP_004681497.1_211,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.003,0.003,0.002,0.003,0.0,0.029,0.033,0.011,0.019,0.01,0.0,0.001,0.0,0.0,0.003,0.0,0.0
lcl|NC_012442.1_prot_WP_002966350.1_212,0.001,0.008,0.017,0.004,0.001,0.0,0.007,0.01,0.011,0.011,0.008,0.0,0.013,0.008,0.003,0.006,0.004,0.0,0.085,0.371,0.056,0.052,0.012,0.0
lcl|NC_012442.1_prot_WP_002966349.1_213,0.065,0.021,0.093,0.034,0.032,0.0,0.022,0.037,0.016,0.02,0.023,0.0,0.188,0.116,0.061,0.083,0.092,0.0,0.002,0.0,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_002966347.1_215,0.0,0.002,0.018,0.0,0.002,0.0,0.011,0.013,0.014,0.028,0.019,0.0,0.35,0.171,0.175,0.076,0.163,0.0,0.045,0.0,0.0,0.008,0.0,0.0
lcl|NC_012442.1_prot_WP_004686152.1_216,0.0,0.0,0.009,0.001,0.0,0.0,0.132,0.055,0.07,0.082,0.075,0.0,0.02,0.003,0.002,0.003,0.006,0.0,0.05,0.001,0.012,0.018,0.004,0.0
lcl|NC_012442.1_prot_WP_004685078.1_217,0.0,0.0,0.009,0.0,0.0,0.0,0.016,0.007,0.02,0.02,0.015,0.0,0.251,0.107,0.078,0.069,0.067,0.0,0.01,0.0,0.0,0.01,0.0,0.0
lcl|NC_012442.1_prot_WP_004686151.1_218,0.006,0.003,0.011,0.01,0.002,0.0,0.012,0.011,0.013,0.014,0.006,0.0,0.118,0.118,0.087,0.042,0.255,0.0,0.067,0.019,0.009,0.031,0.001,0.0
lcl|NC_012442.1_prot_WP_004681515.1_219,0.271,0.221,0.206,0.133,0.166,0.0,0.199,0.148,0.165,0.183,0.21,0.0,0.968,0.92,0.773,0.963,0.975,1.0,0.528,0.402,0.241,0.243,0.128,0.2
lcl|NC_012442.1_prot_WP_002966341.1_220,0.073,0.16,0.02,0.093,0.178,0.0,0.059,0.031,0.047,0.031,0.012,0.0,0.154,0.032,0.038,0.013,0.048,0.0,0.028,0.006,0.003,0.004,0.056,0.0
lcl|NC_012442.1_prot_WP_004681519.1_221,0.002,0.001,0.003,0.001,0.002,0.0,0.023,0.036,0.016,0.028,0.024,0.0,0.078,0.015,0.021,0.021,0.142,0.0,0.038,0.012,0.064,0.012,0.042,0.0
lcl|NC_012442.1_prot_WP_002966339.1_222,0.014,0.012,0.01,0.008,0.006,0.0,0.007,0.009,0.012,0.009,0.005,0.0,0.434,0.084,0.174,0.123,0.251,0.0,0.038,0.003,0.001,0.007,0.003,0.0
lcl|NC_012442.1_prot_WP_002967367.1_223,0.0,0.002,0.005,0.001,0.0,0.0,0.008,0.019,0.009,0.007,0.007,0.0,0.114,0.046,0.028,0.044,0.076,0.0,0.0,0.001,0.0,0.001,0.0,0.0
lcl|NC_012442.1_prot_WP_004681527.1_224,0.001,0.003,0.014,0.006,0.03,0.0,0.08,0.043,0.048,0.034,0.033,0.0,0.016,0.017,0.009,0.013,0.025,0.0,0.012,0.001,0.0,0.008,0.0,0.0
lcl|NC_012442.1_prot_WP_002966336.1_225,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.004,0.002,0.003,0.004,0.0,0.009,0.006,0.004,0.005,0.011,0.0,0.0,0.0,0.0,0.002,0.0,0.0
lcl|NC_012442.1_prot_WP_004686150.1_226,0.063,0.04,0.126,0.028,0.009,0.0,0.029,0.06,0.034,0.048,0.052,0.0,0.077,0.075,0.051,0.042,0.016,0.0,0.101,0.019,0.062,0.041,0.014,0.0
lcl|NC_012442.1_prot_WP_002966333.1_228,0.001,0.011,0.018,0.035,0.018,0.0,0.017,0.01,0.016,0.01,0.014,0.0,0.089,0.058,0.032,0.077,0.179,0.0,0.032,0.045,0.013,0.03,0.006,0.0
lcl|NC_012442.1_prot_WP_004681537.1_229,0.034,0.113,0.068,0.037,0.044,0.0,0.011,0.022,0.022,0.013,0.02,0.0,0.403,0.174,0.163,0.062,0.185,0.0,0.1,0.088,0.017,0.015,0.009,0.0
lcl|NC_012442.1_prot_WP_002966331.1_230,0.004,0.018,0.019,0.004,0.009,0.0,0.004,0.004,0.005,0.003,0.007,0.0,0.046,0.017,0.015,0.037,0.012,0.0,0.014,0.001,0.003,0.013,0.002,0.0
lcl|NC_012442.1_prot_WP_002971945.1_231,0.402,0.178,0.125,0.135,0.201,0.0,0.156,0.097,0.255,0.2,0.182,0.0,0.147,0.122,0.051,0.025,0.129,0.0,0.144,0.028,0.017,0.036,0.006,0.0
